#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
355.33,504,691.261693
326.37,397,691.59481
375.5,489,691.993645
335.42,493,693.658371
366.11,427,694.055979
344.63,573,694.548123
384.24,616,695.072533
364.41,597,696.906376
266.1,418,697.253302
217.32,291,697.508048
275.73,456,697.873412
355.14,523,698.335949
326.33,401,699.914292
363.79,659,700.468857
49.7,36,700.501251
138.57,158,700.628518
356.32,405,700.975513
307.06,326,701.276256
404.58,584,703.157676
59.26,81,703.221212
345.75,461,703.619987
245.41,485,704.020045
374.05,634,705.861843
276.63,366,706.22571
306.58,374,706.559254
400.9,952,707.292372
395.41,500,709.145156
227.04,320,709.400011
345.06,530,709.846321
108.13,199,710.027421
355.91,446,710.427984
412.56,787,712.43157
405.23,519,712.84552
246.05,421,713.212629
344.81,555,713.657863
147.76,240,715.31388
276.66,363,715.650846
295.44,487,716.063774
314.79,554,716.558284
414.85,558,718.318315
315.41,492,718.804947
385.3,510,719.242291
19.87,16,719.246552
128.47,167,719.388947
325.94,440,719.742716
374.42,597,721.492602
117.69,244,721.715802
226.88,336,721.998313
206.97,325,722.269887
197.76,245,722.473744
385.24,516,722.904857
306.65,367,724.561751
296.14,417,724.910132
326.28,406,725.24724
346.01,435,725.60567
404.71,571,726.099396
306.6,372,727.726397
335.23,512,728.172986
296.33,398,728.503818
305.25,507,728.918315
415.01,542,730.720538
316.64,369,731.005402
188.26,194,731.164228
374.56,583,731.639772
236.77,348,731.928654
365.07,531,733.775829
137.96,219,733.956343
59.24,83,734.010385
346.15,421,734.374191
207.66,256,734.597006
316.49,384,734.965352
365.47,491,736.82477
128.48,166,737.018026
218.08,215,737.192558
315.74,459,737.637444
98.73,138,737.763527
286.75,355,738.080149
168.34,184,738.239424
345.98,438,738.636142
375.44,495,740.407475
325.96,438,740.788056
355.19,518,741.200375
69.05,103,741.296266
404.43,599,743.154977
385.8,460,743.603609
325.76,458,743.970147
321.29,905,744.744249
296.29,402,746.545408
295.38,493,746.959889
345.05,531,747.431618
444.65,581,747.898879
286.11,419,749.581032
276.44,385,749.913561
333.49,686,750.484817
306.16,416,750.833393
384.32,608,752.760601
295.34,497,753.178477
293.73,658,753.779168
257.21,306,754.024364
325.93,441,755.761515
314.67,566,756.281076
375.58,481,756.706158
403.37,705,757.293939
227.36,288,758.924081
315.9,443,759.321553
353.53,684,759.890578
364.83,555,760.398163
246.63,363,762.071304
365.48,490,762.516605
207.88,234,762.740541
364.17,621,763.235765
335.99,436,763.602509
157.32,285,765.284272
365.73,465,765.692514
88.74,136,765.792588
395.15,526,766.223919
59.19,88,766.292844
345.79,457,766.667948
315.69,464,768.468051
286.03,427,768.800865
286.87,343,769.102
39.76,29,769.133525
334.44,591,769.64438
394.57,584,771.505389
474.31,618,772.077052
355.22,515,772.489453
384.1,630,773.044592
384.4,600,774.954816
345.49,487,775.336497
365.44,494,775.7168
403.95,647,777.571399
267.22,306,777.90361
355.92,445,778.277973
374.63,576,778.784976
315.79,454,779.182103
256.88,339,780.91846
375.92,447,781.307628
187.65,255,781.526672
326.09,425,781.892937
187.13,307,782.131519
374.51,588,783.759187
276.24,405,784.159143
326.1,424,784.53897
345.6,476,784.949363
344.36,600,785.442853
236.31,394,787.109665
344.99,537,787.555365
